data_file,sorter_name,accuracy,recall,precision
C_Difficult2_noise015,SpykingCircus,0.3,0.32,0.83
C_Difficult2_noise02,SpykingCircus,0.3,0.55,0.43
simulation_90,SpykingCircus,0.31,0.85,0.37
simulation_91,SpykingCircus,0.14,0.86,0.15
simulation_92,SpykingCircus,0.24,0.77,0.31
simulation_95,SpykingCircus,0.2,0.78,0.32
simulation_1,SpykingCircus,0.19,0.71,0.27
simulation_93,SpykingCircus,0.26,0.86,0.29
simulation_94,SpykingCircus,0.36,0.99,0.37
C_Easy1_noise005,Tridesclous,0.99,0.99,1
C_Easy1_noise01,Tridesclous,0.99,1,0.99
C_Easy1_noise015,Tridesclous,0.96,0.96,1
C_Easy1_noise02,Tridesclous,0.6,0.72,0.65
C_Easy2_noise005,Tridesclous,0.96,0.98,0.98
C_Easy2_noise01,Tridesclous,0.94,0.97,0.97
C_Easy2_noise015,Tridesclous,0.62,0.94,0.64
C_Easy2_noise02,Tridesclous,0.48,0.63,0.64
C_Difficult1_noise005,Tridesclous,0.98,0.99,0.99
C_Difficult1_noise01,Tridesclous,0.61,0.96,0.63
C_Difficult1_noise015,Tridesclous,0.51,0.83,0.55
C_Difficult1_noise02,Tridesclous,0.33,0.98,0.34
C_Difficult2_noise005,Tridesclous,0.94,0.95,0.98
C_Difficult2_noise01,Tridesclous,0.65,0.99,0.66
C_Difficult2_noise015,Tridesclous,0.63,0.96,0.64
C_Difficult2_noise02,Tridesclous,0.48,0.74,0.61
simulation_90,Tridesclous,0.58,0.91,0.6
simulation_91,Tridesclous,0.43,0.84,0.48
simulation_92,Tridesclous,0.59,0.95,0.6
simulation_95,Tridesclous,0.53,0.88,0.6
simulation_1,Tridesclous,0.28,0.92,0.28
simulation_93,Tridesclous,0.54,0.91,0.54
simulation_94,Tridesclous,0.97,0.99,0.98
C_Easy1_noise005,Waveclus,0.72,0.72,1
C_Easy1_noise01,Waveclus,0.91,0.91,1
C_Easy1_noise015,Waveclus,0.63,0.63,1
C_Easy1_noise02,Waveclus,0.36,0.36,0.99
C_Easy2_noise005,Waveclus,0.62,0.62,1
C_Easy2_noise01,Waveclus,0.52,0.53,0.98
C_Easy2_noise015,Waveclus,0.78,0.79,0.97
C_Easy2_noise02,Waveclus,0.29,0.3,0.91
C_Difficult1_noise005,Waveclus,0.8,0.8,1
C_Difficult1_noise01,Waveclus,0.77,0.79,0.97
C_Difficult1_noise015,Waveclus,0.78,0.81,0.96
C_Difficult1_noise02,Waveclus,0.37,0.4,0.83
C_Difficult2_noise005,Waveclus,0.91,0.91,1
C_Difficult2_noise01,Waveclus,0.76,0.78,0.96
C_Difficult2_noise015,Waveclus,0.72,0.76,0.94
C_Difficult2_noise02,Waveclus,0.33,0.43,0.65
simulation_90,Waveclus,0.62,0.91,0.67
simulation_91,Waveclus,0.76,0.91,0.78
simulation_92,Waveclus,0.68,0.88,0.74
simulation_95,Waveclus,0.81,0.97,0.84
simulation_1,Waveclus,0.78,0.96,0.79
simulation_93,Waveclus,0.55,0.97,0.55
simulation_94,Waveclus,0.98,0.99,0.99
C_Difficult1_noise005,kmeans,0.5368755,0.577791428,0.796843408
C_Difficult1_noise01,kmeans,0.540550042,0.581690866,0.801674562
C_Difficult1_noise015,kmeans,0.534686113,0.579375188,0.801461084
C_Difficult1_noise02,kmeans,0.499553623,0.682535065,0.644553973
C_Difficult2_noise005,kmeans,0.606212626,0.743615451,0.838854312
C_Difficult2_noise01,kmeans,0.589549429,0.853199066,0.645010252
C_Difficult2_noise015,kmeans,0.528904029,0.621226654,0.738442216
C_Difficult2_noise02,kmeans,0.345819521,0.521467029,0.500151399
C_Easy1_noise005,kmeans,0.625027854,0.781676866,0.829598882
C_Easy1_noise01,kmeans,0.678084965,0.767201877,0.892359489
C_Easy1_noise015,kmeans,0.647673929,0.714795015,0.886207122
C_Easy1_noise02,kmeans,0.579558973,0.625745479,0.851212057
C_Easy2_noise005,kmeans,0.623897737,0.626509167,0.995974659
C_Easy2_noise01,kmeans,0.757460391,0.759275743,0.995990066
C_Easy2_noise015,kmeans,0.520475053,0.852889779,0.567173187
